WHO report date,var,val
2015-09-10,incidence Deaths-- Guinea,1
2015-09-17,incidence Deaths-- Guinea,0
2015-09-24,incidence Deaths-- Guinea,2
2015-10-01,incidence Deaths-- Guinea,1
2015-10-08,incidence Deaths-- Guinea,1
2015-10-15,incidence Deaths-- Guinea,0
2015-10-22,incidence Deaths-- Guinea,1
2015-10-29,incidence Deaths-- Guinea,0
2015-11-05,incidence Deaths-- Guinea,1
2015-11-11,incidence Deaths-- Guinea,0
2015-11-18,incidence Deaths-- Guinea,0
2015-11-25,incidence Deaths-- Guinea,0
2015-12-02,incidence Deaths-- Guinea,0
2015-12-09,incidence Deaths-- Guinea,0
2015-12-16,incidence Deaths-- Guinea,0
2015-12-23,incidence Deaths-- Guinea,0
2015-12-30,incidence Deaths-- Guinea,0
2016-01-06,incidence Deaths-- Guinea,0
2016-01-13,incidence Deaths-- Guinea,0
2016-01-20,incidence Deaths-- Guinea,0
2016-01-27,incidence Deaths-- Guinea,0
2016-02-03,incidence Deaths-- Guinea,0
2016-02-10,incidence Deaths-- Guinea,0
2016-02-17,incidence Deaths-- Guinea,0
2014-03-01,incidence Cases-- Liberia,0
2014-03-02,incidence Cases-- Liberia,0
2014-03-03,incidence Cases-- Liberia,0
2014-03-04,incidence Cases-- Liberia,0
2014-03-05,incidence Cases-- Liberia,0
2014-03-06,incidence Cases-- Liberia,0
2014-03-07,incidence Cases-- Liberia,0
2014-03-08,incidence Cases-- Liberia,0
2014-03-09,incidence Cases-- Liberia,0
2014-03-10,incidence Cases-- Liberia,0
2014-03-11,incidence Cases-- Liberia,0
2014-03-12,incidence Cases-- Liberia,0
2014-03-13,incidence Cases-- Liberia,0
2014-03-14,incidence Cases-- Liberia,0
2014-03-15,incidence Cases-- Liberia,0
2014-03-16,incidence Cases-- Liberia,0
2014-03-17,incidence Cases-- Liberia,0
2014-03-18,incidence Cases-- Liberia,0
2014-03-19,incidence Cases-- Liberia,0
2014-03-20,incidence Cases-- Liberia,0
2014-03-21,incidence Cases-- Liberia,0
